domain,pattern,n_runs,mean_tokens,std_tokens,mean_time,mean_turns,mean_tokens_out,tokens_per_turn,category
engineering,swm4,3,8164.333333333333,2813.146696020905,117.25333333333333,18.0,3319.6666666666665,453.5740740740741,B2
gaming,debate3,3,10586.666666666666,4516.65300120934,143.57666666666668,4.666666666666667,6793.0,2268.5714285714284,C
gaming,pipe,3,16468.333333333332,4669.502578790736,153.82333333333335,6.333333333333333,11551.666666666666,2600.2631578947367,D
gaming,refl2,3,6860.333333333333,4109.127563526512,55.01333333333333,3.0,5468.666666666667,2286.777777777778,C
gaming,rr3,3,20574.0,20751.43098680185,183.1933333333333,5.0,18469.666666666668,4114.8,A
gaming,sel3,3,15101.333333333334,7935.635408291722,147.13,4.0,12837.0,3775.3333333333335,B1
gaming,sel4,3,14669.666666666666,5691.002050020131,160.5,4.666666666666667,12544.0,3143.4999999999995,B1
gaming,swm3,3,2634.3333333333335,957.2258528337675,32.48666666666667,5.0,2185.3333333333335,526.8666666666667,B2
gaming,swm4,3,13115.666666666666,1699.1645986582148,157.19,28.0,6846.0,468.41666666666663,B2
history,debate3,3,8622.666666666666,3577.9005482731536,118.61,4.666666666666667,3673.0,1847.7142857142856,C
history,pipe,3,8872.0,4881.430835318677,88.85333333333334,5.666666666666667,4639.0,1565.6470588235293,D
history,refl2,3,9096.0,6348.446817923263,87.94,4.333333333333333,5639.333333333333,2099.0769230769233,C
history,rr3,3,6966.333333333333,3000.0077222122836,76.72000000000001,4.0,3181.6666666666665,1741.5833333333333,A
history,sel3,3,4228.333333333333,3697.9524514700474,61.18666666666667,3.3333333333333335,2267.3333333333335,1268.4999999999998,B1
history,sel4,3,5239.0,4756.096193308121,70.54333333333334,3.6666666666666665,2810.6666666666665,1428.818181818182,B1
history,swm3,3,1383.6666666666667,157.02335282795784,22.453333333333333,5.0,947.3333333333334,276.73333333333335,B2
history,swm4,3,12094.0,4942.6309795492525,160.24666666666667,29.333333333333332,5114.0,412.29545454545456,B2
law_politics,debate3,3,8354.333333333334,1847.2133968043145,108.66000000000001,4.333333333333333,4497.0,1927.9230769230771,C
law_politics,pipe,3,10375.666666666666,3807.4591702779076,113.98666666666666,5.666666666666667,6863.333333333333,1830.9999999999998,D
law_politics,refl2,3,4823.333333333333,2126.582312851617,56.54333333333333,3.0,3621.3333333333335,1607.7777777777776,C
law_politics,rr3,3,17444.0,14507.463320649824,167.38333333333333,5.0,14440.0,3488.8,A
law_politics,sel3,3,10009.333333333334,5339.911734601363,126.61333333333334,4.0,7963.0,2502.3333333333335,B1
law_politics,sel4,3,17372.666666666668,5271.88935139323,189.07666666666668,5.0,13560.333333333334,3474.5333333333338,B1
law_politics,swm3,3,1947.0,419.324456715799,27.676666666666666,5.0,1509.3333333333333,389.4,B2
law_politics,swm4,3,12281.0,3109.807067970616,158.11666666666667,31.333333333333332,5615.333333333333,391.94680851063833,B2
medicine,debate3,1,9194.0,,125.92,5.0,5737.0,1838.8,C
medicine,pipe,1,29621.0,,310.46,7.0,24886.0,4231.571428571428,D
medicine,refl2,1,10603.0,,112.5,5.0,6968.0,2120.6,C
medicine,rr3,1,7910.0,,55.56,4.0,3647.0,1977.5,A
medicine,sel3,1,10703.0,,104.69,4.0,5839.0,2675.75,B1
medicine,sel4,1,9471.0,,90.69,4.0,5079.0,2367.75,B1
medicine,swm3,1,1733.0,,25.99,5.0,1296.0,346.6,B2
medicine,swm4,1,27069.0,,154.42,24.0,6852.0,1127.875,B2
philosophy,debate3,3,7695.0,2269.7270761040854,119.41666666666667,4.666666666666667,4032.0,1648.9285714285713,C
philosophy,pipe,3,8592.0,1087.1379857221436,82.45333333333333,5.333333333333333,3846.0,1611.0,D
philosophy,refl2,3,2790.6666666666665,780.5935775634675,31.736666666666668,3.0,1591.3333333333333,930.2222222222222,C
philosophy,rr3,3,7918.666666666667,2534.864953667815,71.13333333333334,4.0,3802.3333333333335,1979.6666666666667,A
philosophy,sel3,3,3305.0,573.0034903907654,53.79,3.3333333333333335,2018.0,991.5,B1
philosophy,sel4,3,3164.0,913.3329075424798,51.419999999999995,3.0,2125.3333333333335,1054.6666666666667,B1
philosophy,swm3,3,7981.333333333333,10309.774698475876,50.21666666666667,7.0,2555.6666666666665,1140.1904761904761,B2
philosophy,swm4,3,20692.0,7845.160801411275,177.98333333333335,26.0,6056.0,795.8461538461538,B2
science,debate3,3,6441.333333333333,2496.9025478246713,110.03000000000002,4.333333333333333,3454.0,1486.4615384615386,C
science,pipe,3,14224.0,3637.307245752,149.71666666666667,6.666666666666667,9266.333333333334,2133.6,D
science,refl2,3,3488.3333333333335,1166.5600427467646,41.660000000000004,3.0,2058.0,1162.7777777777778,C
science,rr3,3,9512.666666666666,7356.157715365633,100.18333333333332,5.0,5675.666666666667,1902.5333333333333,A
science,sel3,3,9264.333333333334,2294.038433272933,95.23666666666666,4.0,4830.666666666667,2316.0833333333335,B1
science,sel4,3,6983.333333333333,930.6907828776071,79.22333333333334,3.6666666666666665,3745.6666666666665,1904.5454545454545,B1
science,swm3,3,3282.6666666666665,2511.0327224736307,53.39333333333334,12.666666666666666,1928.3333333333333,259.1578947368421,B2
science,swm4,3,9601.0,4071.652244482576,127.01666666666667,24.333333333333332,5218.333333333333,394.56164383561645,B2
