pattern,task_id,category,lambda_val,baseline_turns,adaptive_turns,turn_reduction,baseline_tokens,adaptive_tokens,cost_savings,stopped_by
pipe,law_01,D,0.1,5,5,0.0,7075,6350,0.10247349823321555,keyword
pipe,law_02,D,0.1,5,5,0.0,8015,7271,0.09282595134123518,keyword
pipe,law_03,D,0.1,5,5,0.0,10190,7588,0.25534838076545635,keyword
pipe,game_01,D,0.1,6,6,0.0,9878,11328,-0.14679084834986839,keyword
pipe,game_02,D,0.1,6,6,0.0,15774,17590,-0.11512615696716115,keyword
pipe,game_03,D,0.1,7,7,0.0,18320,23559,-0.28597161572052404,keyword
pipe,eng_01,D,0.1,6,6,0.0,10255,8167,0.20360799609946367,keyword
pipe,eng_02,D,0.1,6,6,0.0,16128,20358,-0.2622767857142857,keyword
pipe,eng_03,D,0.1,5,5,0.0,6955,8082,-0.16204169662113588,keyword
pipe,biz_01,D,0.1,7,6,0.14285714285714285,24047,13125,0.4541938703372562,keyword
pipe,biz_02,D,0.1,6,6,0.0,8295,7947,0.041952983725135624,keyword
pipe,biz_03,D,0.1,5,5,0.0,15420,10536,0.3167315175097276,keyword
pipe,med_01,D,0.1,7,7,0.0,16314,17289,-0.059764619345347554,keyword
sel4,sci_01,B1,0.5,4,4,0.0,7019,7319,-0.04274113121527283,
sel4,sci_02,B1,0.5,5,4,0.2,14902,7789,0.47731848074084016,
sel4,sci_03,B1,0.5,4,4,0.0,7141,9359,-0.3106007561966111,
sel4,cs_01,B1,0.5,4,4,0.0,9270,11636,-0.2552319309600863,
sel4,cs_02,B1,0.5,4,4,0.0,10663,11452,-0.07399418550126606,
sel4,cs_03,B1,0.5,4,4,0.0,11831,15173,-0.2824782351449582,
sel4,hist_01,B1,0.5,5,4,0.2,9554,3886,0.5932593678040611,
sel4,hist_02,B1,0.5,3,4,-0.3333333333333333,2288,5677,-1.4812062937062938,
sel4,hist_03,B1,0.5,4,4,0.0,5915,8980,-0.518174133558749,
sel4,phil_01,B1,0.5,5,4,0.2,9471,6033,0.36300285080772887,
sel4,phil_02,B1,0.5,3,4,-0.3333333333333333,4050,8966,-1.213827160493827,
sel4,phil_03,B1,0.5,3,4,-0.3333333333333333,2817,9012,-2.1991480298189563,
sel4,law_01,B1,0.5,5,4,0.2,9052,7906,0.12660185594343792,
sel4,law_02,B1,0.5,5,4,0.2,22793,11203,0.508489448514895,
sel4,law_03,B1,0.5,5,4,0.2,13270,16905,-0.27392614920874153,
sel4,game_01,B1,0.5,4,4,0.0,9629,11200,-0.16315297538685222,
sel4,game_02,B1,0.5,5,4,0.2,28799,20087,0.3025105038369388,
sel4,game_03,B1,0.5,4,4,0.0,9491,8530,0.10125381940786007,
sel4,eng_01,B1,0.5,5,4,0.2,18424,12996,0.29461571862787667,
sel4,eng_02,B1,0.5,5,4,0.2,16392,16387,0.0003050268423621279,
sel4,eng_03,B1,0.5,5,4,0.2,14596,11378,0.22047136201699097,
sel4,biz_01,B1,0.5,5,4,0.2,19110,9077,0.5250130821559393,
sel4,biz_02,B1,0.5,3,4,-0.3333333333333333,3494,7483,-1.1416714367487122,
sel4,biz_03,B1,0.5,4,4,0.0,8801,12571,-0.42836041358936483,
sel4,med_01,B1,0.5,4,4,0.0,9627,8365,0.13108964371039783,
swm4,sci_01,B2,0.5,12,6,0.5,15279,3131,0.7950782119248642,
swm4,sci_02,B2,0.5,9,6,0.3333333333333333,9064,6383,0.2957855251544572,
swm4,sci_03,B2,0.5,28,10,0.6428571428571429,20905,2824,0.8649127003109304,
swm4,cs_01,B2,0.5,32,10,0.6875,9845,2631,0.7327577450482479,
swm4,cs_02,B2,0.5,32,8,0.75,12961,6025,0.5351438932181158,
swm4,cs_03,B2,0.5,34,10,0.7058823529411765,9804,2778,0.7166462668298653,
swm4,hist_01,B2,0.5,14,4,0.7142857142857143,24343,3397,0.8604526968738446,
swm4,hist_02,B2,0.5,32,8,0.75,13783,2075,0.8494522237538997,
swm4,hist_03,B2,0.5,20,8,0.6,29781,2790,0.9063161075853732,
swm4,phil_01,B2,0.5,20,8,0.6,24624,3172,0.8711825860948668,
swm4,phil_02,B2,0.5,32,8,0.75,16532,3156,0.8090975078635374,
swm4,phil_03,B2,0.5,28,8,0.7142857142857143,11103,4193,0.6223543186526164,
swm4,law_01,B2,0.5,12,4,0.6666666666666666,22255,4477,0.7988317232082678,
swm4,law_02,B2,0.5,34,8,0.7647058823529411,10584,2568,0.7573696145124716,
swm4,law_03,B2,0.5,34,10,0.7058823529411765,8940,2953,0.6696868008948546,
